Timestamp,Why would you rather not have children? ,Please explain your previous answer.,
5/6/2015 7:35:02,"I want to prioritize my career., I like my life as it is.","Having children is like a prison, all of your life runs according to them. Planning an adveture vacations to any place will be impossible to do, choosing to move to another country will all rwsume if is good for your kids and not if is the best opportunity you ever had ",
5/6/2015 7:35:10,"I don’t like children., I don’t want the financial responsibility.",Haven't liked small kids since I was 10 and forced to babysit.,
5/6/2015 7:35:49,I like my life as it is.,,
5/6/2015 7:35:53,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.","I can barely take care of myself, how can I take care of a kid? I also am a fan of moving at my own pace. You can't do that with children.",
5/6/2015 7:39:08,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.",,
5/6/2015 7:39:30,"I have a bad relationship with my parents., I don’t want the financial responsibility., I like my life as it is.","I spent much of my childhood babysitting my younger brother.  All summer long while my friends were out having fun, I had to stay inside while my Mom was at work watching my brother play video games.  He had asthma so I had to give him medication and constantly watch over him. Before cell phones and the internet, it was boring and I grew bitter starting at age 10.  I've always had a lot of responsibility with no parental support, and I moved out at age 19 and struggled to support myself working 2 low paying jobs. When I got a bit more stable, I went to college part-time.  Between a full-time job and school, the idea of kids just wasn't possible.  I got married at age 21 to a guy that needed a lot of support from me, acting in a mom role for him.  I didn't feel like we would split the responsibility of a child even close to equal.  Weird paranoia plays a role too.  My mom was mentally and physically abusive, and while I don't think I'm like her, I worry that I would treat my children the way I was treated.  Babies have always freaked me out.  They are so dependant on us and I get nervous that I'll drop them or hold them wrong and just do something wrong.  I have cats and dogs, and I'm even nervous around puppies and kittens, and prefer older animals.  There are so many reasons why I just don't want kids!",
5/6/2015 7:39:41,"I don’t want the financial responsibility., I like my life as it is.","I have a fantastic life! I travel frequently, I volunteer, I serve on committees and I have a career that allows me to do all that.  Not sure that I'd want to pay for bottles through college if I can pay for trips to places in the world I haven't visited yet.",
5/6/2015 7:40:10,"I want to prioritize my career., I like my life as it is.","It is my opinion that the last thing this world needs is more human life- indeed it could do with a great deal less. We are an unsustainable population and we are destroying plant and animal species and natural resources at an alarming rate. We cannot maintain this for long and I feel it is my responsibility as a conscious citizen of this world to actively not add to the problem. That being said, this is also not a world that I would wish upon any children of mine or others'. ",
5/6/2015 7:40:31,I like my life as it is.,"I like kids, am cool with my parents and not too career oriented. Just don't want to be a mom. I believe that overpopulation is the worst global problem today.  Also I am afraid of getting pregnant and don't think I have what it takes to be a mom. I'd rather not carry on some of the disease-prone genes. I've thought about becoming a foster mom when I'm much older, though. ",
5/6/2015 7:42:18,"I have a bad relationship with my parents., I don’t want the financial responsibility., I like my life as it is.","I had my tubes tied at age 27.  I realized I would never be in a proper emotional or financial state to be able to raise a child.  I love children very much, but I didn't want to risk bringing one into the world knowing I would not be able to be a good mom.",
5/6/2015 7:43:22,"I don’t want the financial responsibility., I like my life as it is.","I understand children are a huge responsibility, and I don't want that. I like children, I just do not want my own. I like my life as it is and I understand that children are a financial responsibility as well and I do not want to become another drain on the welfare system because at this time I do not have the financial means to support a child. ",
5/6/2015 7:43:23,I like my life as it is.,"I like the freedom that not having children gives me. If I don't feel like cooking, I don't. If I decide to spend an entire weekend watching all 5 seasons of Alias, I do. I love to travel and find that it's so much easier without kids.  I have pets, so I do have to make arrangements for them if I am traveling. And they do require care and feeding. But they don't talk back. And they rarely whine. Kids today are so entitled, parents allow them to say what they will and won't do; what they will and won't eat. My sister has her grandchild right now and I suggested she make beans and rice for dinner one night and she said, ""Oh, she won't eat that."" I would lose my mind if I had to cook to please a child instead of myself.",
5/6/2015 7:43:47,"I have a bad relationship with my parents., I don’t want the financial responsibility., I like my life as it is.","For many reasons, overpopulation, financial, I like doing what I want - when i want.  Living in the suburbs- I'm remided daily just how child centric our society is now, I do not agree at all with the way these kids are being overparented these days, put on pills for the slightest thing and I would never be able to tolerate the stay at home moms if I had to.",
5/6/2015 7:44:15,I like my life as it is.,,
5/6/2015 7:44:45,I like my life as it is.,"My parents did a great job, and I understand how much effort, dedication and sacrifice that required. I have never been drawn to motherhood. It's just not something that I have ever craved or dreamed about. And how can  you have kids if you're not 100% committed? ",
5/6/2015 7:45:05,I like my life as it is.,"No real reason other than I never had the desire. To me it's as black and white as why I don't drive a 4 door sedan, have a snake for a pet, or a neck tattoo -  I just don't want to. 

Now at age 48 with a very fulfilled life, extra time for travel and volunteering, a successful career, disposable income and I'm blissfully happy I will fully admit that my current lifestyle is a direct result of not having kids, but was not the initial cause. 

No regrets for not having something I didn't want in the first place. ",
5/6/2015 7:45:05,I like my life as it is.,I love the life I have with my fiance. I don't want to change the life we have and add the responsibilities of children. We do love our neices and nephew very much. ,
5/6/2015 7:45:16,"I don’t want the financial responsibility., I like my life as it is.",,
5/6/2015 7:47:08,I like my life as it is.,,
5/6/2015 7:47:11,I like my life as it is.,"Some people just know they want kids, I just know that I don't. I love kids- my job is centered around helping kids (my husband's too) and we actively contribute (time and money) to the lives of children in our family. I'm offended by the reasons you listed- it sounds like you assume people are child free because they are selfish. It's more selfish to have children if you aren't prepared to be an amazing parent. You do not have to be a parent to impact children's lives. Think of the question as why do you want kids? You can't boil it down to a list- you just do or don't.",
5/6/2015 7:47:33,"I don’t like children., I don’t want the financial responsibility., I like my life as it is.",,
5/6/2015 7:47:47,"I don’t like children., I don’t want the financial responsibility., I like my life as it is.",,
5/6/2015 7:48:12,"I don’t like children., I don’t want the financial responsibility., I like my life as it is.","I have never felt that urge or desire to be a parent. The older I get, the more strongly I feel about not having children. The entire pregnancy and childbirth thing is also completely not appealing to me. I enjoy the child-free lifestyle:  more freedom to do what I want, when I want to do it, without having to find a babysitter. To me, kid-free is the way to be!",
5/6/2015 7:49:00,I like my life as it is.,I did at one time. But then saw how a lot of my friends were the only one taking care of the child. While husbands or boyfriends did whatever ,
5/6/2015 7:49:19,"I want to prioritize my career., I like my life as it is.",,
5/6/2015 7:49:41,"I have a bad relationship with my parents., I don’t want the financial responsibility.","I have never met a man I can imagine dealing with for the next 18 years at minimum. (My longest relationship has only lasted 10 years, and didn't end with me thinking it would be joyous to see him again every other weekend.)
A divorce means never seeing my exes again; with children involved it means I have be cordial when I see them at all of life's milestones, even if that ex owed thousands in child support. ",
5/6/2015 7:50:43,I like my life as it is.,,
5/6/2015 7:51:04,"I want to prioritize my career., I like my life as it is.","I love children, but I also love having the freedom of doing what I want when I want. Children are a huge responsibility, ""YOU COME SECOND"". There are too many people out there that should not have children, and have no business having them. If you're not willing to sacrifice your life 100%, to give them the proper care and financial stability they need, you shouldn't be having children for your own selfish reasons. Too many selfish people out there. 

I LOVE MY LIFE AS IT IS... I REFUSE TO BE SELFISH! ",
5/6/2015 7:51:50,I like my life as it is.,I can't have children and I'm not sure if I want to adopt or not. I am 32 and want to make sure I am healthy enough to have them. ,
5/6/2015 7:52:05,"I want to prioritize my career., I like my life as it is.",,
5/6/2015 7:52:23,"I don’t want the financial responsibility., I like my life as it is.","I have severe anxiety and depression and do not believe it would be fair to a child. Financially, I have student loans from undergrad and graduate school. Beyond paying them off, I want to save for a house with my fiancé, travel the world, buy a second home in the future. If I did not have mental health issues, things may be different and it may have been a dream to have children. My dreams have shifted though and that's okay. ",
5/6/2015 7:53:33,"I don’t want the financial responsibility., I like my life as it is.","I like children but they are a huge responsibility. And, I don't think I would be a good parent.",
5/6/2015 7:54:04,I like my life as it is.,,
5/6/2015 7:54:13,I like my life as it is.,"I'm just incredibly happy with the relationship I have with my husband (7 years!) and my career, which necessitates travel to Europe often. I don't need anything else. I'm so fulfilled.",
5/6/2015 7:54:52,I like my life as it is.,,
5/6/2015 7:55:53,I like my life as it is.,"When my husband and I got married, we assumed we would have children about 5 years in, when we got to that point, we realized we liked the freedom of our current lifestyle and decided not to have children",
5/6/2015 7:57:09,I like my life as it is.,,
5/6/2015 7:57:09,I like my life as it is.,"Part of me is scared 

Part of me enjoys the carefree lifestyle my husband and I share with our dog

I have been focusing on my career and travel ",
5/6/2015 7:57:35,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.","Women have the opportunity to be CEO's and travel and pursue hobbies we're passionate about, and it's up to us to take advantage of that. While women can have children and do these things, I want to experience these things for myself, for my soul and emotional well-being, and no one else. It may sound selfish, but I know I can do more good in the community and socially with my experiences if I don't have children. In the end, creating positivity in life should be the goal, and every woman can choose how she creates that positivity, mine just doesn't include children and I believe that's ok.",
5/6/2015 7:57:56,"I don’t like children., I like my life as it is.",,
5/6/2015 7:58:01,"I don’t like children., I like my life as it is.","I know myself very well... I believe I would be incapable of handling and tolerating the irrationality of small children and their inability to control their emotions. I am afraid of the emotional damage I could inflict, as I tend to turn cold to such behaviors. Some laugh at child having a melt down because mommy didn't put the juice box straw in just right... I see nothing funny in that, only the potential to hate my life and choices. I also want ABSOLUTELY NOTHING TO DO WITH the ""mommy culture."" All the blogs, the playdates, the silently judging each other for choosing non-organic strawberries, the yoga pants, planned sex, hating women who have kids but are in shape (projection, much?), and just the mindset and lifestyle that you need to be this is-this-poop-or-chocolate-haha! child-loving zombie with no interests of her own woman. I know my perception is harsh and maybe unfair, but thanks, media, this is what you've shown me and I want nothing to do with it. I also hold on stubbornly to my life how it is... spur of the moment outings, dance classes, performing, whatever we want. I know all of that would change and I just don't want it to. And I don't want to resent a child for making my life something I don't want.",
5/6/2015 7:58:06,"I don’t want the financial responsibility., I like my life as it is.",,
5/6/2015 7:58:46,I like my life as it is.,"I like the freedom and lack of responsibility that a child free life can bring. Plus I have no biological desire to procreate as people kept telling me when I was growing up.

I think they're wonderful and cherish my nieces and nephews but I'm fulfilled without having become a mom.",
5/6/2015 7:59:51,I like my life as it is.,"I don't feel you need to have children in order to live a complete and fulfilled life. It's not something that is right for every woman, and women need to stop feeling pressurized or being criticized for their choices; whether it be to have children or not to have children. We're all entitled to an opinion and the right to live a life of our choosing. ",
5/6/2015 8:00:54,I like my life as it is.,"Growing up as an only child of never married older parents (mom 42 dad 54 when I was born), I definitely see how difficult having a child is and the world is a scary place.  I don't want to have a child without being married and having a solid relationship.  I like kids but have never had that ""desire"" to have kids.  I don't think I should HAVE to have children in order to be successful.  ",
5/6/2015 8:01:00,I like my life as it is.,I honestly do not want to bring a child into the world we live in.,
5/6/2015 8:01:04,I like my life as it is.,,
5/6/2015 8:01:35,"I want to prioritize my career., I don’t like children., I don’t want the financial responsibility., I like my life as it is.","At this point in my life I really value my time with my husband, my job, volunteering in my community, my hobbies, taking last minute weekend vacations, having ""me time"" to rest and recover and buying things I want to buy. Some may consider this selfish but it is my choice. I truly have a very high quality of life right now and kids just don't fit into my lifestyle.

Some women say they are ""born to be a mom"" and I just don't feel that I am one of those women...and I'm perfectly ok with that.",
5/6/2015 8:02:50,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.",,
5/6/2015 8:03:40,I like my life as it is.,I don't feel like women should be pressurised into having children. I like having the option to travel the world or advance my career.,
5/6/2015 8:04:07,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.","None of the options presented truly represent my reasons for not having children. Because, I might want kids, but being able to live a normal life means I can't 
Before I could consider pregnancy, I would have to quit taking an array of medication I am prescribed for a mental health condition. I would have to begin a strict detox program (could take up to a year) because quitting SSRIs and mood stabilizers cold-turkey leads to severe headaches, night sweats, nausea, vivid nightmares, tremors, vertigo, imbalance, agitation, rage, anxiety -
All on top of the return of my mental illness symptoms. Should I end up pregnant, I won't be able to return to my l medication again until after the child is born and I am done breast feeding (or don't)
I can't work without the stability this medication provides. No meds = no work. I love being an engineer, but the money it provides is far more important than the actual work. Disability would be an option, but like so many 20 somethings, I have tens of thousands of dollars in student loan debt to worry about, on top of living expenses. I also worry about what might go on in my head without the mood stebalizers and antipsychotics. What kind of mother could I be in the time (possibly years) it takes my doctors and I re-establish a working medication regime. Thinking back to that dysfunctional life I lead before my diagnosis reaffirms my choice to remain medicated and sane and childless.",
5/6/2015 8:07:01,"I don’t want the financial responsibility., I like my life as it is.",They are extremely expensive first and foremost. Too many horrible things happen in this world today and I just don't feel it's necessary to being another human into the mess society is today. ,
5/6/2015 8:07:24,"I don’t like children., I don’t want the financial responsibility., I like my life as it is.","I have known from teenage years that I did not want to be a mother. I do not have any interest in bringing up children.l enjoy my time, my sleep, my freedom to come and go as I wish. Children are noisy, selfish, rude, messy, and financially,  as well as physically and mentally draining.Very happy with no children.",
5/6/2015 8:08:18,"I want to prioritize my career., I don’t like children., I don’t want the financial responsibility.","I want to live my own life to it's fullest and to me, that does not include sacrificing everything I love, my time, money, sleep and energy, for a child. Babies are weird. Also, I grew up in the foster system. If I decide, after I am retired, to take in older children to guide them, I can.",
5/6/2015 8:08:22,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.","As strong as my maternal instinct is, I plan on not spending it on furthering my genetic imprint on the world and instead improve the quality of others lives. I prefer to expend my motherly energy on being a good aunt to my sisters children. I couldn't bare the thought of adding to the population when so many children are born already homeless. I am avidly pro choice. I'm also a huge advocate for homeless animals. I have to rescues that are my ""children"" and plan on fostering. If I ever cave into the tradition, I would absolutely have to adopt. Additionally, there is a chance I may be infertile anyways due to my autoimmune disorder, but regardless of this fact I would prefer to adopt.",
5/6/2015 8:08:35,"I want to prioritize my career., I like my life as it is.","My husband and both want to travel and prioritize our careers. To be perfectly honest, it does not even cross my mind to want a kid. I know at 33, according to society I should have baby fever and be trying to get pregnant, but that is not the case. I'm never around any kids, so it just never occurs to me to want any. Also, I've heard so many horror stories from friends on pregnancy/labor that it doesn't seem worth it. I know a few women who came close to death- that shouldn't be happening in this century.",
5/6/2015 8:09:03,I want to prioritize my career.,,
5/6/2015 8:09:39,"I don’t like children., I don’t want the financial responsibility., I like my life as it is.","im quite happy now and don't ""need"" children to feel complete. They are not the end all, be all. I still have so many things I want to accomplish ",
5/6/2015 8:11:37,I don’t want the financial responsibility.,"I have never wanted children, and as I approach 40, my husband and I have much more financial freedom than many of our peers.",
5/6/2015 8:12:10,I like my life as it is.,"I don't have time to care for a child, nor would I have any interest in making time. I love sleeping. And going out. And traveling. And not worrying about money all the time. Also, children are a drag on the environment, finances, marriages, and social lives. ",
5/6/2015 8:12:19,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.",,
5/6/2015 8:12:20,I like my life as it is.,"I need quiet in my life. I need things clean. I have OCD and can't deal with germs. But above all that, I've never had any maternal feelings for a child. I knew as a kid myself that I never wanted to have children. Never in 36 years have I even considered it. It's just not something I need to do.",
5/6/2015 8:12:41,I like my life as it is.,,
5/6/2015 8:12:45,"I don’t like children., I have a bad relationship with my parents.","I didn't enjoy childhood, so wouldn't put anyone else thru it.
I find the thought of pregnancy, childbirth & babies quite revolting!",
5/6/2015 8:13:00,"I don’t like children., I like my life as it is.","I like the freedom to do whatever the hell I want whenever I want. I'm not responsible for anyone and will never have to be. Kids are annoying and bratty and I just don't see the ""joy"" that so many people seem to think there is because most of the people I know that have them do nothing but complain about them most of the time. ",
5/6/2015 8:13:41,"I don’t like children., I have a bad relationship with my parents., I like my life as it is.",,
5/6/2015 8:14:04,"I don’t like children., I like my life as it is.","The short answer: I'm selfish. I like who I am right now, and don't want to change that to have a person in my life for whom all my decisions will be based around, for the next ~20 years, while I miss out on my life in favor of theirs - only to have them hate me despite everything I've sacrificed. 

The world is overpopulated enough as it is. I don't feel the need to spread my genetic code to feel fulfilled. We are more than brood mares. ",
5/6/2015 8:14:59,"I want to prioritize my career., I don’t want the financial responsibility., I like my life as it is.",,
5/6/2015 8:15:39,"I want to prioritize my career., I don’t like children., I don’t want the financial responsibility., I like my life as it is.","My life is perfect as it is. I am very happy with my husband and our pets. We travel yearly to exotic locations and don't have to worry about lugging a child with us or finding a baby sitter. I am planning on going back to school for my PhD, and during my schooling I will quit my job to focus on schooling. We wouldn't be able to survive on one income of we had children. Also, My husband and I aren't very fond of children. Our family members have them, and they are fun to play with for a while, but when they get cranky and whiney we can give them back and go home to a nice, clean, quiet house. ",
5/6/2015 8:15:51,I like my life as it is.,"When I think of my future, I see travel, excelling at work and loving my friends and family. I want to make decisions on the fly and live spontaneously. I want freedom.",
5/6/2015 8:16:04,I have a bad relationship with my parents.,"There are so many children who don't have enough time from their parents and I work as a teacher, so that is enough parenting for me.",
5/6/2015 8:16:24,I like my life as it is.,"I dont want to go through pregnancy, labor, and delivery.",
5/6/2015 8:16:08,I like my life as it is.,"I could have also chosen any of the other answers outside of ""I have a bad relationship with my parents"", I have a great relationship with my parents.",
5/6/2015 8:16:56,I like my life as it is.,"The thought of having to do kiddie crap every weekend makes me want to shoot myself.  I like having the extra money to save for retirement and not worry about braces, summer camp or college tuition.  I can travel on a moment's notice.  I can give my all to my job and not have to worry about daycare, sick days, or having to leave my co workers to pick up my slack.  I'm the Cool Aunt to all my nieces and nephews.  I have more time to do the things that make me happy and productive.  My relationship with my guy is not strained due to the constant neediness of children. I don't want to put my body through pregnancy and childbirth.  I can give my dog all the attention he needs and deserves.",
5/6/2015 8:16:57,I like my life as it is.,"I love my husband and we are very active. We never felt the ""need"" to procreate and frankly have seen child rearing tear other couples apart. I support every woman's decision but have never regretted mine.",
5/6/2015 8:17:12,I like my life as it is.,"I helped raise my siblings and feel like now is my time. I don't want that responsibility again. been there, done that.",
5/6/2015 8:18:18,I like my life as it is.,My reason for not having kids was not provided in the lis above. The reason I don't want kids because I just never has that motherly urge to be a mom. It's just not a desire of mine. ,
5/6/2015 8:18:21,"I want to prioritize my career., I don’t like children., I like my life as it is.",I have never understood why having a child was the defining moment in a woman's life. I have worked to obtain a lifestyle that I am proud of and I don't feel that a child will add to it. I enjoy my work and climbing the professional ladder.,
5/6/2015 8:18:50,"I don’t want the financial responsibility., I like my life as it is.","In the UK there is no support for mothers, and terrible pre and post natal support. I don't know if I'd want the responsibility of bringing a child into a world savaged by cuts and financial insecurity. There is also a problem with overpopulation. ",
5/6/2015 8:19:39,"I don’t want the financial responsibility., I like my life as it is.","I'm 40 now, and I really thought at some point, I'd get pregnant. Two marriages and countless hookups before, and no. I've never been tested, but I think maybe it's just not supposed to happen for me. My husband isn't keen on it anyway, almost making the decision a little easier. I enjoy my life as it is. We have successful careers and a beautiful home. Our pets are our ""kids"" and deserve all our attention, so human babies don't seem to fit in the plan.",
5/6/2015 8:20:00,"I want to prioritize my career., I don’t like children., I don’t want the financial responsibility., I like my life as it is.","I don't feel my life is lacking anything by not having them. My husband and I have plans and goals for the future (travel, house renovation) and they don't involve having children. We've contemplated adoption but the cost involved  (including family medical insurance and child care, if required) is ridiculous.  ",
5/6/2015 8:20:15,"I don’t want the financial responsibility., I like my life as it is.","Crippling burden. Most of the time having children makes women less able to care for themselves. Women either quit work or allow their career to take a back seat to their childcare responsibilitiepersonality and relationshsuclead me to believe that I would end up assuming primary responsibility for the children, instead of my SO. Once you exit the workplace or make it apparent that your job isn't the priority, you become significantly less employable. I am not all that career driven; however, I do recognize that my job is integral to my ability to care for myself and understand that having children jeopardizes this. I don't want children because the financial and time commitment they require places my future at risk. Five years from now, if my financial situation is such that I could easily pay for childcare expenses and education, I may reconsider (my SO will beg me to), but that would require an exhorbitant amount of money.",
5/6/2015 8:20:45,"I want to prioritize my career., I don’t like children., I have a bad relationship with my parents., I don’t want the financial responsibility.",I personally don't feel comfortable with the concept of having someone's entire life rely on the decisions that I make for them in their primary years. I have so many things I want to accomplish in my life and I know that a child would suffer if I were to pursue all of my goals and dreams. It is selfish. I'm completely okay with being selfish for my own happiness.,
5/6/2015 8:22:11,I like my life as it is.,I don't feel like anything is missing from my life. why change that?  You don't often obtain things in life you don't seek out  ,
5/6/2015 8:22:12,"I want to prioritize my career., I like my life as it is.",,
5/6/2015 8:24:00,I like my life as it is.,I discovered that I liked to travel-pick up and go whenever I wanted-without the burden of children. Watched all the things my sister had to do before going anywhere with her two kids. Liked that kind of freedom of only making decisions that concerned only me. Plus it's a hugh financial responsibility when you are single. I didn't get married until I was forty and didn't have the desire for children even after that happened.,
5/6/2015 8:24:57,I like my life as it is.,My husband and i have never had the desire aincw our early 20 and as life has continued the responsibility of a mom with early Alzheimer's has made me realize that it all may have been for a reason.  I also feel like some people have kids because you are supposed to and are not happy with heir choices even though they love their kids.  I have felt like the mom of my family for years.  I  am 39.,
5/6/2015 8:25:19,"I don’t like children., I don’t want the financial responsibility., I like my life as it is.","It was never on my list of things I had to do as an adult.  I felt that if my interest in having in children were that low, forcing myself to have them would have been bad for them and for me.  I know me better than other people know me, and I made the best decision for myself.  ",
5/6/2015 8:25:57,"I don’t like children., I like my life as it is.",Overpopulation is the root of all that ails this planet.,
5/6/2015 8:26:25,I like my life as it is.,I like my freedom and the fact that not having children provides me to do other things with my time (that I would likely not otherwise do)!,
5/6/2015 8:28:02,I like my life as it is.,Great life - vacation when we want and early retirement!,
5/6/2015 8:28:36,I like my life as it is.,"I always thought I'd have children.  After I got married (at the tender age of 23), we held off having children while I was in graduate school.  Once I landed a tenure track job we started trying to get pregnant to no avail.  We saw an infertility specialist and one of the many things I had to do was to check my urine every morning to find out if and when I was ovulating.  I did this for approximately a week before realizing that if I was loathe to test my urine each morning, then I wouldn't want to wake up at all hours to check a baby's diaper or to feed a baby.  That's when we quit trying to have a baby and never looked back.",
5/6/2015 8:29:01,"I don’t want the financial responsibility., I like my life as it is.","They cost a lot of money, I have plenty of neices and nephews. I believe there is so much in life I can't be able to do with children.",
5/6/2015 8:31:41,I like my life as it is.,"I am a full time carer for my sister, money is tight but we live happily. It has taken many many years to get my home life to be calm. It would be irresponsible to bring a child into the situation. I am also a lesbian so it would make it a little harder. I do like children but I would rather be the crazy aunt that's not an real aunt. I would not rule out adopting a child later in life. ",
5/6/2015 8:33:29,I like my life as it is.,"I never had much of a desire to have children, and I don't think it is something that should be done with anything less than full commitment. My proverbial clock never ticked, and at 43 I have no regrets. I don't feel like I missed anything. ",
5/6/2015 8:33:47,"I don’t like children., I don’t want the financial responsibility.",,
5/6/2015 8:33:55,"I don’t like children., I don’t want the financial responsibility.",,
5/6/2015 8:34:18,I have a bad relationship with my parents.,My mother has borderline personality disorder. My children could have it. ,
5/6/2015 8:34:20,"I don’t want the financial responsibility., I like my life as it is.","My husband and I are training for a full ironman triathlon and love to travel. We enjoy sleeping late on the weekends and prioritizing our training together. Kids are great, but they aren't for us! We like the ability to plan sponateous day trips and vacations! ",
5/6/2015 8:35:34,I like my life as it is.,I am 60 so long past choosing not to have children. I remember going to the first earth day celebration on the common in my hometown. The  devastating effects of over populating the world made a huge impact on me. No need to add more to the mix. Been dismayed growth economics has won out as we continue to destroy our planet. The planet has enough people should another option on your list.,
5/6/2015 8:35:43,I like my life as it is.,I'm 55.  I was married young to a man that had children.  We divorced.  I have been in two long term relationships since.  The last one for 20 years.  Both partners had children.  I loved  them like my own.  Never thought too much about needing my own. There are now grand babies and it's wonderful.   ,
5/6/2015 8:35:47,"I want to prioritize my career., I don’t like children., I don’t want the financial responsibility., I like my life as it is.","I just do not want children, why is that a big deal? There are people who don't like kids, people who can't have them, and people who just don't want them. Personally, I have more important things to worry about and focus on. Why can't people just get over it.",
5/6/2015 8:36:58,"I don’t want the financial responsibility., I like my life as it is.","Call me selfish if you want (the Pope certainly does), but I have never believed that the most important part of my life should be about breeding more humans.   We seem to have far too many unwanted ones as it is. ",
5/6/2015 8:39:13,I like my life as it is.,"It's really a combination of factors. We are trying to be responsible above all.  We are not sure we will be good parents, our financial situation is not very stable and we enjoy what little freedom we have atm. I also have several health issue that would make it a high risk pregnancy.",
5/6/2015 8:39:39,I like my life as it is.,I have a serious illness which comprimises my energy levels ,
5/6/2015 8:39:53,I like my life as it is.,i have always felt that i am too selfish to have children.,
5/6/2015 8:40:08,"I don’t like children., I have a bad relationship with my parents., I don’t want the financial responsibility., I like my life as it is.","So many reasons, we are ruining the planet for future generations,  I cant be bothered, so much work, expensive,  I like my just go life, I see/hear all these mums (aged14-24) not be the responsible as they should, and I dont understand ppl who want kids and cant have them but dont adopted,  then the opposite who have kids and ignor them. Final though if you have kids they should be 90% of your life focus. ",
5/6/2015 8:40:16,"I have a bad relationship with my parents., I like my life as it is.","Actually my parents are not bad people, I was just a very unhappy child. I felt lonely and always worried about my sister and parents. Now that I'm an adult, I never want responsibility for another person in that way again. I want to be relatively free. I love to be with my boyfriend or alone. I never cared for a bi family and I can't be around groups. To be without children is perfect for me and I finally feel really free and happy. ",
5/6/2015 8:40:24,I want to prioritize my career.,I have spent countless days trying to prove myself at work. But my childbearing age never allows me to get that next promotion. Having a child will not allow me to move forward. I am also not in a relationship where I have security and I am always battling the what its. I'd rather not bring a child into such a relationship. I also carry the fincial burdens in my relationship.,
5/6/2015 8:40:33,"I want to prioritize my career., I have a bad relationship with my parents., I don’t want the financial responsibility., I like my life as it is.",,
5/6/2015 8:42:53,"I don’t like children., I don’t want the financial responsibility., I like my life as it is.","it's just never been a priority in my life. I love being able to do what I want, when I want and without having to worry about anyone else (except my cats).",
5/6/2015 8:44:48,I like my life as it is.,I like my partner and I just being on our own schedule and being able to go on vacation without kids in tow. I like kids but want to give them back at the end of the day. My partner doesn't like kids at all.  ,
5/6/2015 8:45:28,I like my life as it is.,For me it was more about my lack of desire to be married. Not that you must he married to have children. I simply never felt that urge for marriage and kids. ,
5/6/2015 8:45:35,I like my life as it is.,"I love my life, my freedom to make decisions without them impacting on someone elses's life. I am not selfish enough to bring children that are born with responsabilities. I get love from my husband, friends, pets. People say it's not the same.. True... But you i can't miss what I've never had.
I don't need kids to take care of me when I'm old, that's why I'm working hard, to have a nice retirement where I can pay a nurse to do that job. 
I am happy with what I have in my life, wouldn't change for a thing!.
",
5/6/2015 8:45:55,"I want to prioritize my career., I don’t like children., I don’t want the financial responsibility.","I'm only 18 but I'm definitely sure about my choice. My future husband just has to accept that.  There are a lot of reasons why I'm choosing not to have a child in the future. I have bad relationship with my siblings. If I was going to have a child I fear that they would have the same bad attitudes of my siblings. I secretly blame my parents why did they have 5 kids knowing that it will be difficult supporting them financially, not to mention keeping an eye on with their individual problems.I went through a terrible childhood. I don't want to  be responsible for any child going through what I did.  I can't see myself being responsible for a child. If I want to be parent I want to be 100% sure I won't ruin them. ",
5/6/2015 8:46:56,I like my life as it is.,,
5/6/2015 8:47:51,I like my life as it is.,"I did not get married until I was 35 but even before then, I never felt the pressure to have a child. I like kids, I have nieces and nephews and my friends have kids. My husband and I agreed that we would try and if it happened or did not happen, we would be fine with it. We never got pregnant and neither of us stressed about it. My doctor asked me after my annual exam (she knew we were going to try). I told her that it had occurred to me that I could never visualize myself as a parent. There are some people that are put on this earth to be parents, I don't believe that is my purpose. She congratulated me for being true to myself.  ",
5/6/2015 8:48:01,I like my life as it is.,"Motherhood has never held any interest for me. I simply never wanted children, ever.",
5/6/2015 8:48:25,I like my life as it is.,"I want to use my energy for me, to foster my own growth and exploration, not that of a child. If I were a mother all my energy would be directed toward raising my child.",
5/6/2015 8:52:00,"I don’t like children., I don’t want the financial responsibility., I like my life as it is.","I didn't like children even as a child. I was raised by my grandmother who would try to take me to homes of people that had kids and I would be mortified. I was raised in a quiet home where running and chaos took place outside. When I would be thrust into a home where there kids who apparently had no boundaries I would sit on the couch, with the adults and refuse to interact with kids my age. 
At 52 I have never held a baby or been in the same room with a baby unless one is pushed past me in a store, which is rare. I make a point to eat at establishments that are not on a ""family"" friendly pricing point. I try and do the same with any public place I might be in.
The only thing worse than kids these days is the parents. The entitlement these parents exhibit is narcissism to the fullest extent. The world has suddenly become their babysitter and there isn't supposed to be a sanctuary for those of us who have lived our lives free of smells, screeching, running and basic inconsiderate expectations to tolerate such things. I honestly despise children and modern day parents seem to work over time to make their little snowflakes intolerable to others. ",
5/6/2015 8:54:03,"I have a bad relationship with my parents., I don’t want the financial responsibility., I like my life as it is.",I don't feel it's a good fit for me. I love having a life of adventure and being free to do what I want.,
